Canonical SMILES,name
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](C=O)(C3)CC2,2-82
O=C(NCC1CCCCC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)[C@H]3O[C@@]23[C@H]2[C@@]31CC(=O)[C@](CO)(C3)CC2,2-83
O=C(OCC)CCNC(=O)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-84
O=C(OCC=C)N[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)C=C[C@@]2(OC3=O)[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-85
O=C(OCC)CCNC(=O)CC[C@@]1(C)C(=O)CC[C@@H]2[C@@H]1C(=O)C[C@]1(C)C(=O)CC[C@@H]21,2-86
O=C1[C@@H]2[C@]3(C)[C@]4(O[C@H]4C[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-87
O=C1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-88
O[C@@H]1[C@@H]2[C@]3(C)C(=CC[C@H]2[C@H]2[C@@](C)(C4(OCCO4)CC2)C1)CC1(OCCO1)CC3,2-89
O=C(NC1CC1)[C@H]1[C@@H]2[C@@]3(C)[C@@H](O)[C@H](OC3=O)C=C2[C@H]2[C@]31CC(=C)[C@@](O)(C3)CC2,2-90
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)C)[C@H]2OC1)C,2-91
O=C(OC)[C@H]1[C@@H]2[C@@](C(=O)OC)(C)[C@@H]3O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CO3,2-92
O=C(OCC=C)N[C@H]1[C@@H]2[C@]3(C)C(=O)O[C@@]2([C@H]2[C@]41CC(=C)[C@@](O)(C4)CC2)C=CC3=O,2-93
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c([N+](=O)[O-])cccc1,2-94
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1ccc(N)cc1,2-95
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](O)[C@H]2OC1)c1c(N)cccc1,2-96
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3ccc(N)cc3)[C@H]2OC1)c1ccc(N)cc1,2-97
S(=O)(=O)(O[C@H]1[C@H]2OC[C@@H](OS(=O)(=O)c3c(N)cccc3)[C@H]2OC1)c1c(N)cccc1,2-98
O=C([C@@]1([C@H]([C@@H](C=C2[C@@H]1[C@@H]([C@@]34[C@H]2CC[C@@](C(C3)=C)(C4)O)[NH3+])O)O)C)[O-],2-99
COc1ccc(C=C[C@@]2(C3=CC(C(OC)=C2)=O)CC[N+](C)(C)[O-])c3c1O,2-100
O=C([C@@H](c1ccccc1)[NH3+])N[C@@H]2C(N3[C@H](C(C)(S[C@H]23)C)C([O-])=O)=O,Ampcillin
O=C(C1=C([O-])[C@@](O)(C(C2=C(c3c([C@](C)([C@H]2C4)O)cccc3O)[O-])=O)[C@@H]4[C@H]([NH+](C)C)C1=O)N,Tetracycline
Fc1cc2c(N(C=C(C2=O)C([O-])=O)C3CC3)cc1N4CC[NH2+]CC4,Ciprofloxacin
ClC(C(N[C@H](CO)[C@@H](c1ccc([N+]([O-])=O)cc1)O)=O)Cl,Chloramphenicol
